"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"284","Nelsinho Baptista (TEC)","Sport","5,79",1,"1,41","1,41","-1,21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Tiago  (ZAG)","Bahia","6,48",1,"1,40","1,40","-1,52",1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1
"286","Amaral (MEI)","Chapecoense","5,10",1,"1,40","1,40","-0,90",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"287","Bruno Pacheco (LAT)","Chapecoense","4,27",1,"1,20","1,20","-0,73",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"288","Roberto (ATA)","Ceará","4,96",1,"1,20","1,20","-1,04",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"289","Gabriel (MEI)","Sport","4,96",1,"1,20","1,20","-1,04",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"290","Gerson Magrão (MEI)","América-MG","4,27",1,"1,20","1,20","-0,73",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"291","Marcelo Chamusca (TEC)","Ceará","2,20",1,"1,19","1,19","0,20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","Elias (MEI)","Atlético-MG","9,02",1,"1,10","1,10","-2,98",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"293","Diego Alves (GOL)","Flamengo","9,71",1,"1,10","1,10","-3,29",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,3
"294","Marcinho (LAT)","Botafogo","4,89",1,"1,10","1,10","-1,11",2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3
"295","Felipe Melo (MEI)","Palmeiras","5,58",1,"1,10","1,10","-1,42",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,8
"296","Alemão (LAT)","Paraná","4,89",1,"1,10","1,10","-1,11",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"297","Riascos (ATA)","Vasco","5,58",1,"1,10","1,10","-1,42",1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
"298","Fábio (GOL)","Cruzeiro","11,71",1,"1,00","1,00","-4,29",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"299","Brenner (ATA)","Botafogo","4,13",1,"1,00","1,00","-0,87",NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1
"300","Edigar Junio (ATA)","Bahia","6,82",1,"0,90","0,90","-2,18",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
"301","Kieza (ATA)","Botafogo","4,75",1,"0,90","0,90","-1,25",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
